"Sum - Count","Classification",,,,
"Date","<b>Unable to connect to Rserve</b> (result=-1, socket:unknown socket error 2).
","don't know...","food poisoning tweet","not a food poisoning tweet","Total Result"
"4/29/2013",,,10,4,14
"4/30/2013",,,7,10,17
"5/1/2013",,,7,6,13
"5/2/2013",,,11,4,15
"5/3/2013",,,22,28,50
"5/4/2013",,,10,5,15
"5/5/2013",,,12,3,15
"5/6/2013",,,6,6,12
"5/7/2013",,,5,4,9
"5/8/2013",,,6,6,12
"5/9/2013",,,14,5,19
"5/10/2013",,,10,7,17
"5/11/2013",,1,8,10,19
"5/12/2013",,,5,4,9
"5/13/2013",,1,11,6,18
"5/14/2013",,,1,4,5
"5/15/2013",,,7,5,12
"5/16/2013",,,6,7,13
"5/17/2013",,,3,4,7
"5/18/2013",,,8,7,15
"5/19/2013",,,8,3,11
"5/20/2013",,,10,6,16
"5/21/2013",,,8,7,15
"5/22/2013",,,7,10,17
"5/23/2013",,,7,4,11
"5/24/2013",,,5,12,17
"5/25/2013",,,7,8,15
"5/26/2013",,,6,5,11
"5/27/2013",,,3,7,10
"5/28/2013",,,12,6,18
"5/29/2013",,,5,7,12
"5/30/2013",,,4,4,8
"5/31/2013",,,5,7,12
"6/1/2013",,,5,3,8
"6/2/2013",,,12,,12
"6/3/2013",,,6,9,15
"6/4/2013",,,3,4,7
"6/5/2013",,,2,1,3
"6/6/2013",,,5,2,7
"6/7/2013",,,2,5,7
"6/8/2013",,,5,3,8
"6/9/2013",,,4,5,9
"6/10/2013",,,6,12,18
"6/11/2013",,1,3,3,7
"6/12/2013",,,5,1,6
"6/13/2013",,,5,4,9
"6/14/2013",,,7,4,11
"6/15/2013",,,5,4,9
"6/16/2013",,,5,3,8
"6/17/2013",,,6,7,13
"6/18/2013",,,5,4,9
"6/19/2013",,1,7,3,11
"6/20/2013",,,4,5,9
"6/21/2013",,,6,5,11
"6/22/2013",,,3,3,6
"6/23/2013",,,4,,4
"6/24/2013",,,4,3,7
"6/25/2013",,,2,7,9
"6/26/2013",,,,5,5
"6/27/2013",,,3,4,7
"6/28/2013",,,6,6,12
"6/29/2013",,,5,5,10
"6/30/2013",,1,5,3,9
"7/1/2013",,,8,4,12
"7/2/2013",,,3,11,14
"7/3/2013",,,7,3,10
"7/4/2013",,,5,4,9
"7/5/2013",,,3,11,14
"7/6/2013",,,4,6,10
"7/7/2013",,,4,4,8
"7/8/2013",,,4,4,8
"7/9/2013",,,9,10,19
"7/10/2013",,1,5,6,12
"7/11/2013",,1,6,7,14
"7/12/2013",,,8,9,17
"7/13/2013",,,14,9,23
"7/14/2013",,,4,6,10
"7/15/2013",,,6,5,11
"7/16/2013",,1,6,8,15
"7/17/2013",,,6,15,21
"7/18/2013",,,2,8,10
"7/19/2013",,,4,8,12
"7/20/2013",,,2,5,7
"7/21/2013",,,6,3,9
"7/22/2013",,1,11,7,19
"7/23/2013",,,5,8,13
"7/24/2013",,,6,15,21
"7/25/2013",,,4,7,11
"7/26/2013",,,5,1,6
"7/27/2013",,,8,3,11
"7/28/2013",,,6,4,10
"7/29/2013",,,5,7,12
"7/30/2013",,,6,4,10
"7/31/2013",,,6,22,28
"8/1/2013",,,5,6,11
"8/2/2013",,,2,2,4
"8/3/2013",,,7,2,9
"8/4/2013",,1,5,4,10
"8/5/2013",,,8,5,13
"8/6/2013",,,1,2,3
"8/7/2013",,,10,4,14
"8/8/2013",,,9,10,19
"8/9/2013",,,3,14,17
"8/10/2013",,,4,9,13
"8/11/2013",,,2,4,6
"8/12/2013",,,5,18,23
"8/13/2013",,,7,89,96
"8/14/2013",,,3,41,44
"8/15/2013",,,8,22,30
"8/16/2013",,,5,19,24
"8/17/2013",,,5,4,9
"8/18/2013",,,9,7,16
"8/19/2013",,,5,5,10
"8/20/2013",,,8,6,14
"8/21/2013",,,3,4,7
"8/22/2013",,,4,13,17
"8/23/2013",,,2,4,6
"8/24/2013",,,3,3,6
"8/25/2013",,,1,5,6
"8/26/2013",,,5,7,12
"8/27/2013",,,7,5,12
"8/28/2013",,,3,2,5
